date,massif,risque1,evolurisque1,loc1,altitude,risque2,evolurisque2,loc2,risque_maxi,commentaire,url_telechargement,00_temps,00_mer_de_nuages,00_limite_pluie_neige,00_isotherme_0,00_isotherme_moins_10,00_altitude_vent_1,00_altitude_vent_2,00_direction_vent_altitude_1,00_vitesse_vent_altitude_1,00_direction_vent_altitude_2,00_vitesse_vent_altitude_2,06_temps,06_mer_de_nuages,06_limite_pluie_neige,06_isotherme_0,06_isotherme_moins_10,06_altitude_vent_1,06_altitude_vent_2,06_direction_vent_altitude_1,06_vitesse_vent_altitude_1,06_direction_vent_altitude_2,06_vitesse_vent_altitude_2,12_temps,12_mer_de_nuages,12_limite_pluie_neige,12_isotherme_0,12_isotherme_moins_10,12_altitude_vent_1,12_altitude_vent_2,12_direction_vent_altitude_1,12_vitesse_vent_altitude_1,12_direction_vent_altitude_2,12_vitesse_vent_altitude_2,precipitation_neige_veille_altitude,precipitation_neige_veille_epaisseur
2023-01-24,MERCANTOUR,4,,,,,,,4,Risque fort.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230124151216.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-23,MERCANTOUR,4,,,,,,,4,Risque fort.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230123152605.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-22,MERCANTOUR,2,3,,,,,,3,Risque limité évoluant en Risque marqué.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230122151000.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-21,MERCANTOUR,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230121145844.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-20,MERCANTOUR,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230120150507.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-18,MERCANTOUR,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230118150643.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-17,MERCANTOUR,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230117151047.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-15,MERCANTOUR,1,,<2000,2000,2,,>2000,2,Au-dessus de 2000 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230115150248.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-14,MERCANTOUR,1,,<2300,2300,2,,>2300,2,Au-dessus de 2300 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230114144809.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-13,MERCANTOUR,1,,<2300,2300,2,,>2300,2,Au-dessus de 2300 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230113144927.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-12,MERCANTOUR,1,,<2300,2300,2,,>2300,2,Au-dessus de 2300 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230112142043.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-11,MERCANTOUR,1,,<2200,2200,2,,>2200,2,Au-dessus de 2200 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230111143844.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-10,MERCANTOUR,2,,<2000,2000,3,,>2000,3,Au-dessus de 2000 m : Risque marqué. En-dessous : Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230110145909.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-09,MERCANTOUR,2,,<2000,2000,3,,>2000,3,Au-dessus de 2000 m : Risque marqué. En-dessous : Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230109150032.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-08,MERCANTOUR,1,2,<2000,2000,2,3,>2000,3,Au-dessus de 2000 m : Risque limité évoluant en Risque marqué. En-dessous : Risque faible évoluant en Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230108080142.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-07,MERCANTOUR,1,2,,,,,,2,Risque faible évoluant en Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230107145957.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-06,MERCANTOUR,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230106145105.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
